@relation donations

@attribute sequence_number   numeric
@attribute customer_id       numeric
@attribute 2008_ospital      numeric
@attribute 2009_Q1_hospital  numeric
@attribute 2009_Q2_hospital  numeric
@attribute 2009_Q3_hospital  numeric
@attribute 2009_Q4_hospital  numeric
@attribute mail_campaigns    numeric
@attribute phone_campaigns   numeric
@attribute email_campaigns   numeric
@attribute american_cancer   numeric
@attribute red_cross         numeric
@attribute ms_society        numeric
@attribute american_heart    numeric
@attribute save_the_children numeric
@attribute world_food        numeric
@attribute bloomberg         {0, 1}
@attribute better_home       {0, 1}
@attribute money             {0, 1}
@attribute new_yorker        {0, 1}
@attribute field_and_stream  {0, 1}
@attribute pc_world          {0, 1}
@attribute rolling_stone     {0, 1}
@attribute car               {0, 1}
@attribute class             {1, 2, 3, 4, 5, 6}

@data
3131,13,21,25,11,27,25,2,2,1,68,25,46,94,63,32,0,1,1,1,0,0,0,1,3
3132,31,37,4,75,49,57,1,2,1,3,27,55,69,3,22,0,0,1,0,1,1,0,1,3
3133,3,5,84,3,66,12,2,2,0,18,31,22,28,27,14,1,1,1,0,1,0,1,0,3
3134,80,184,31,175,68,98,0,1,1,2,1,1,2,3,1,1,0,0,0,0,1,0,0,4
3135,18,76,1,99,62,29,1,2,1,17,7,16,0,30,6,0,0,0,1,1,0,1,0,3
3136,199,247,141,233,18,187,2,0,2,53,10,55,54,47,45,1,1,1,0,0,0,1,1,5
3137,3,14,8,13,5,0,1,2,0,11,10,22,5,22,19,1,1,0,1,0,1,0,0,2
3138,75,91,22,161,22,36,2,0,1,14,60,60,14,71,0,1,1,1,0,0,0,1,0,3
3139,23,123,52,85,74,112,1,2,0,43,4,32,36,56,12,0,0,1,0,1,0,1,0,3
3140,78,53,83,21,55,96,0,1,0,4,8,25,30,37,4,1,1,0,0,0,1,0,0,3
3141,118,17,227,35,130,31,2,2,1,29,37,66,59,3,59,1,0,0,1,0,1,1,1,4
3142,49,46,12,27,24,11,0,2,2,66,18,45,46,10,17,0,1,0,1,1,0,1,1,3
3143,6,15,20,29,38,43,1,1,0,36,72,16,43,54,77,1,1,0,0,0,0,1,0,3
3144,63,94,10,3,36,6,0,0,2,2,1,9,7,12,11,1,1,0,1,0,1,1,0,3
3145,14,5,9,4,13,24,2,0,2,47,21,62,33,69,34,0,0,1,0,1,1,1,0,3
3146,69,12,4,57,6,18,2,0,0,10,39,29,57,26,13,0,1,1,0,0,1,1,1,3
3147,37,87,148,156,61,140,0,0,1,37,50,33,40,18,8,0,0,1,0,1,1,0,1,4
3148,209,165,11,107,139,103,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4
3149,16,1,4,7,11,9,2,0,0,47,29,12,52,48,23,1,1,0,1,1,1,1,0,2
3150,1,50,71,38,107,35,0,2,0,3,3,0,0,0,3,1,1,1,1,1,1,1,1,3
3151,78,168,37,17,27,132,1,2,1,12,49,7,47,7,9,0,1,0,0,1,1,1,1,3
3152,10,19,5,37,5,16,2,2,0,8,8,3,8,8,8,0,0,1,1,1,1,0,0,3
3153,3,4,2,0,4,2,1,0,1,64,45,6,61,51,42,0,1,0,1,0,1,0,1,2
3154,28,61,3,153,141,0,2,2,1,47,45,3,1,22,29,1,1,1,1,1,0,1,1,3
3155,57,59,6,18,3,58,1,2,0,37,47,38,16,61,2,1,1,0,0,0,0,0,1,3
3156,69,83,6,152,144,113,1,0,0,27,28,14,37,32,23,1,1,0,0,1,0,1,1,4
3157,58,16,7,19,111,61,2,2,1,9,48,55,35,10,1,0,0,0,1,0,0,0,0,3
3158,145,146,95,20,72,1,0,1,1,83,32,31,41,69,7,1,1,1,0,0,0,0,1,3
3159,24,16,42,10,48,37,0,0,0,26,49,19,40,45,36,0,1,0,0,0,0,1,0,3
3160,61,22,67,139,70,0,2,2,0,54,76,14,43,57,39,0,1,1,1,1,0,1,1,3
3161,71,34,15,65,57,37,0,1,0,9,33,50,35,69,25,0,1,0,0,0,1,1,0,3
3162,93,46,165,187,41,69,2,2,0,31,13,32,53,37,12,0,1,0,1,1,1,1,1,4
3163,138,192,39,23,186,107,2,0,2,86,92,36,74,50,32,0,1,0,0,1,0,0,0,4
3164,162,95,112,25,12,6,0,1,1,23,70,10,83,83,69,0,1,1,0,1,1,0,1,3
3165,2,6,22,11,23,32,1,1,0,4,19,9,19,3,9,0,1,0,1,0,0,1,1,3
3166,15,3,7,5,7,7,2,0,1,4,0,15,5,13,3,1,1,0,0,0,0,0,1,2
3167,71,53,58,45,21,4,2,2,0,9,14,31,16,21,1,0,0,1,0,1,0,1,1,3
3168,28,51,32,45,44,1,1,1,2,70,36,45,71,41,2,1,0,0,1,0,1,1,1,3
3169,36,9,53,0,29,23,1,2,2,3,10,11,7,6,6,0,1,1,1,1,0,0,0,3
3170,21,42,48,6,63,107,1,1,1,65,71,55,65,35,0,1,1,0,0,1,1,0,0,3
3171,20,43,88,10,76,14,1,1,1,19,3,8,1,19,13,0,0,1,1,0,1,0,1,3
3172,48,50,5,28,15,56,0,0,0,87,10,69,53,89,93,0,1,0,0,0,1,1,0,3
3173,32,48,34,37,54,26,0,0,2,40,33,3,47,25,54,1,0,0,0,0,1,0,0,3
3174,54,68,35,59,130,58,0,0,2,0,6,7,7,5,1,0,0,1,1,1,0,1,0,3
3175,90,95,156,32,13,135,2,2,1,29,85,21,16,40,14,0,1,0,1,1,1,0,1,4
3176,74,180,15,79,0,53,2,0,1,18,41,68,56,24,1,1,0,1,0,0,1,0,0,3
3177,14,44,14,22,16,28,1,1,2,37,7,54,23,2,11,0,0,1,0,1,1,1,0,3
3178,9,33,29,22,25,9,2,1,1,78,73,77,62,10,15,0,0,0,0,0,1,0,1,3
3179,10,2,106,19,129,94,1,2,0,23,66,64,2,18,20,1,0,1,0,0,0,0,0,3
3180,27,187,54,203,89,196,2,2,0,144,108,132,168,36,96,0,1,0,1,1,1,1,1,4
3181,6,4,41,37,18,43,0,0,0,0,5,25,8,16,20,0,1,0,1,1,0,1,0,3
3182,38,17,47,41,29,58,0,1,0,7,1,0,7,9,4,1,0,1,1,0,0,1,1,3
3183,104,70,119,49,169,125,1,2,1,22,35,34,71,53,80,1,1,0,0,1,0,1,1,4
3184,8,10,6,11,2,7,1,2,1,0,46,29,34,47,16,0,0,0,0,1,0,0,0,2
3185,29,85,0,67,68,16,2,0,1,4,4,6,2,6,8,1,1,1,1,1,0,0,1,3
3186,18,31,45,3,10,53,1,2,1,28,21,19,24,26,8,1,0,1,1,0,0,0,0,3
3187,18,1,197,38,158,46,2,0,0,60,72,64,20,19,47,1,0,0,0,1,1,1,1,3
3188,12,60,162,10,149,64,2,1,1,4,48,48,13,21,37,1,1,1,1,0,0,0,1,3
3189,60,35,15,51,89,84,0,0,2,7,29,2,12,25,17,1,1,0,1,1,0,0,1,3
3190,32,22,1,32,23,43,0,1,1,31,20,42,38,29,43,1,0,1,0,0,1,1,1,3
3191,47,61,5,89,10,75,1,0,2,10,5,94,14,95,38,1,1,0,1,1,1,0,0,3
3192,6,38,55,43,57,126,2,1,0,60,42,12,54,51,15,1,0,1,0,1,0,1,0,3
3193,35,1,38,4,10,25,2,1,2,9,18,2,2,16,17,1,1,1,1,0,1,1,0,3
3194,128,84,24,235,138,116,1,0,2,7,40,42,19,19,18,1,1,0,1,1,1,1,0,4
3195,80,114,51,32,90,31,2,2,1,7,21,0,21,0,28,0,0,0,0,1,0,1,0,3
3196,21,28,38,30,52,44,2,0,2,64,50,32,28,10,30,0,0,0,0,1,0,0,1,3
3197,64,70,0,58,45,83,2,1,0,54,35,97,46,73,20,1,0,1,0,0,1,0,0,3
3198,30,50,105,21,42,72,2,1,0,36,5,41,31,16,26,0,1,0,0,1,1,0,0,3
3199,81,27,65,192,169,102,0,0,1,17,41,24,26,78,47,0,1,0,0,1,1,1,1,4
3200,37,70,93,85,18,100,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
3201,134,158,98,80,46,77,0,1,0,20,11,39,21,50,52,0,0,1,1,0,0,0,1,4
3202,49,29,46,18,41,8,2,2,2,19,14,30,24,18,7,1,0,0,1,0,1,1,1,3
3203,35,125,84,11,104,85,1,1,2,35,9,12,2,1,30,1,1,1,0,1,1,1,0,3
3204,118,54,54,89,59,64,0,0,1,8,12,20,20,16,24,1,0,1,0,0,1,0,0,3
3205,141,30,0,137,39,94,0,2,1,25,53,51,70,88,79,0,1,0,0,0,0,0,0,3
3206,19,30,76,30,87,44,1,0,2,6,6,3,3,0,8,1,1,0,0,1,0,1,1,3
3207,62,79,48,104,71,13,2,2,2,30,47,34,12,44,33,0,1,0,0,0,0,1,1,3
3208,7,1,10,1,3,5,0,1,1,8,1,7,15,14,5,0,0,0,1,0,1,0,0,2
3209,134,87,57,27,34,62,2,2,0,25,43,65,12,30,27,0,1,0,0,1,0,1,0,3
3210,3,4,5,5,0,2,2,0,0,34,10,2,11,38,38,1,1,1,0,1,1,1,1,2
3211,168,98,54,100,14,52,0,2,2,3,0,2,3,0,3,0,1,1,1,0,0,1,1,3
3212,25,53,70,58,70,39,2,0,1,31,14,9,6,23,33,0,1,1,0,0,0,0,1,3
3213,99,4,188,88,132,189,0,0,1,68,47,22,85,61,73,0,0,0,0,1,0,1,0,4
3214,15,22,51,70,68,42,0,0,2,33,1,3,31,22,38,1,0,0,0,0,1,0,1,3
3215,32,180,132,36,134,16,1,0,2,39,15,33,33,72,17,0,1,1,1,0,1,0,1,4
3216,4,79,61,38,73,28,1,0,1,11,3,49,76,30,82,0,1,0,1,1,0,1,1,3
3217,41,178,25,143,177,191,2,1,2,28,81,74,50,7,63,1,0,0,1,0,1,0,1,4
3218,0,1,3,0,3,5,0,1,0,35,48,35,22,26,25,0,0,0,1,1,1,1,1,2
3219,0,16,9,8,3,11,2,2,1,3,2,10,8,1,5,0,0,1,0,0,1,1,0,2
3220,21,3,59,29,43,47,2,2,2,30,29,24,7,25,11,1,1,0,0,1,1,1,0,3
3221,21,15,37,50,19,25,1,2,0,23,29,1,2,9,72,0,0,0,1,0,1,0,0,3
3222,39,32,6,45,23,17,1,2,1,37,38,10,0,58,9,1,0,1,0,1,0,0,0,3
3223,10,128,43,8,0,100,1,0,2,5,1,0,1,4,1,0,0,0,1,0,1,1,0,3
3224,48,17,20,5,67,16,1,2,2,25,38,17,20,0,38,0,1,1,0,1,1,1,0,3
3225,97,63,59,68,74,28,0,2,1,39,51,69,25,29,57,1,0,0,0,1,1,1,0,3
3226,83,57,81,46,52,56,0,0,0,22,24,8,12,5,5,1,1,0,0,0,1,0,1,3
3227,0,5,7,6,4,9,1,0,1,10,8,4,14,2,12,1,0,0,0,1,0,0,0,2
3228,33,184,222,103,148,12,2,2,1,6,14,0,19,0,24,0,1,0,0,0,0,1,0,4
3229,3,2,7,8,12,4,1,2,0,28,36,10,34,53,85,0,0,0,1,1,0,0,1,2
3230,74,138,26,9,33,21,2,1,0,40,62,23,12,43,8,1,1,1,1,0,1,1,1,3
3231,88,65,83,158,60,30,1,1,1,30,46,25,8,7,10,1,1,0,1,0,0,1,0,3
3232,22,19,11,19,13,22,2,0,0,20,24,58,76,35,38,0,1,1,1,0,0,1,1,3
3233,18,0,6,7,2,11,1,1,2,42,9,21,44,24,34,1,0,0,0,1,0,1,0,2
3234,3,1,3,2,2,1,0,1,0,19,0,26,24,20,25,1,0,1,0,0,1,1,1,2
3235,102,97,6,74,73,61,1,0,0,58,10,28,59,40,7,0,0,0,0,0,0,1,1,3
3236,30,103,51,8,85,106,1,2,0,25,12,29,13,21,1,0,0,1,0,1,0,0,0,3
3237,81,41,28,36,73,14,2,1,1,18,64,26,4,49,49,0,0,1,1,0,1,1,0,3
3238,66,3,2,19,38,39,0,2,0,10,8,26,9,2,5,0,0,1,0,0,1,0,1,3
3239,8,48,56,11,31,51,1,1,2,34,4,8,69,21,48,0,1,1,0,1,1,0,0,3
3240,7,52,97,31,11,6,2,1,1,7,11,18,18,0,2,0,1,1,0,1,1,0,0,3
3241,47,137,159,155,109,71,0,0,0,18,62,38,26,48,49,0,1,1,0,0,0,1,0,4
3242,19,97,98,182,20,92,2,2,2,82,18,14,87,76,53,1,1,0,1,1,0,1,1,4
3243,79,20,102,40,10,97,1,1,0,8,18,19,8,24,33,0,0,1,0,1,0,1,0,3
3244,5,1,0,2,6,7,2,1,1,30,3,25,27,10,9,0,1,1,0,0,0,1,0,2
3245,31,69,49,117,110,65,0,2,2,46,44,40,41,58,63,0,0,0,1,1,1,0,0,3
3246,89,154,131,24,2,157,0,2,1,10,1,25,3,27,5,0,0,1,1,0,0,1,0,4
3247,4,33,17,17,11,30,1,1,0,59,28,1,39,50,41,0,0,1,0,0,1,0,1,3
3248,177,93,130,150,69,138,1,0,1,34,45,46,41,17,27,1,1,1,1,0,1,1,1,4
3249,35,7,52,51,30,9,2,2,2,6,13,15,0,22,12,0,1,0,0,1,0,0,0,3
3250,72,32,31,85,82,65,2,0,0,32,32,11,19,21,6,1,1,0,1,0,0,1,1,3
3251,83,15,122,115,124,37,1,1,0,4,93,12,88,96,51,0,1,0,0,0,1,1,1,3
3252,31,120,14,70,136,21,1,1,2,11,22,3,16,18,4,1,1,0,0,0,1,0,0,3
3253,20,7,15,17,17,18,1,2,1,6,2,11,10,8,5,0,1,1,0,0,0,1,1,3
3254,26,3,8,9,20,23,0,1,0,23,1,0,27,45,43,0,1,0,1,0,0,1,1,3
3255,40,3,94,60,79,71,0,1,1,21,14,14,14,28,21,1,0,0,1,0,1,0,0,3
3256,55,41,19,58,115,16,2,0,2,74,84,17,44,68,6,0,0,1,0,1,0,0,0,3
3257,67,41,43,106,82,9,1,2,1,3,37,7,37,11,26,1,0,1,0,1,1,1,0,3
3258,78,5,94,100,34,10,1,0,0,16,19,60,6,83,79,0,1,1,1,0,1,1,0,3
3259,112,165,109,42,63,134,1,1,0,4,30,25,75,6,18,1,1,0,0,0,1,1,0,4
3260,186,52,123,39,177,61,1,2,2,26,36,18,10,68,50,0,0,1,0,0,0,1,1,4
3261,4,17,18,23,20,6,0,0,1,6,4,1,1,7,2,1,0,1,1,1,0,1,0,3
3262,3,1,4,9,4,10,2,1,2,22,22,0,30,33,38,0,0,0,1,1,1,1,1,2
3263,2,40,15,21,13,49,0,0,2,3,1,2,0,1,1,1,1,1,1,0,1,0,0,3
3264,123,121,121,20,137,133,2,0,2,33,11,3,11,23,15,0,1,1,1,0,0,1,0,4
3265,40,32,0,24,0,0,1,0,1,76,75,19,72,60,32,1,1,0,0,0,0,0,0,3
3266,22,37,23,25,32,3,0,0,2,22,8,5,3,12,2,0,1,0,1,1,0,1,1,3
3267,43,53,2,65,47,32,2,0,0,7,30,77,17,74,22,1,0,1,0,0,1,1,0,3
3268,21,129,133,151,58,162,1,1,2,4,28,5,2,24,19,0,0,0,0,0,0,1,0,4
3269,0,8,2,4,13,5,1,0,0,51,18,12,41,53,0,1,0,0,0,0,0,0,1,2
3270,17,26,7,15,31,1,2,1,1,44,67,44,53,60,51,1,1,0,1,1,1,0,1,3
3271,2,11,5,23,29,40,0,1,1,49,36,34,47,50,33,0,0,0,0,0,0,0,0,3
3272,22,12,20,18,24,16,1,2,1,12,27,54,77,41,18,0,1,0,0,1,1,0,1,3
3273,168,89,223,74,85,3,0,1,1,25,8,28,34,24,54,1,1,0,1,1,0,1,1,4
3274,66,14,154,97,132,17,2,1,0,52,52,62,18,70,50,1,1,1,0,1,0,0,1,3
3275,91,31,11,202,35,36,2,0,0,92,95,19,55,19,87,0,0,1,0,1,0,1,1,3
3276,4,6,5,4,2,5,0,1,2,30,30,43,39,30,23,1,1,0,0,0,1,1,1,2
3277,83,30,8,85,82,19,0,1,1,4,1,2,0,4,3,1,1,0,0,1,0,0,0,3
3278,8,2,24,14,1,57,0,0,2,31,25,19,69,22,18,1,0,1,1,0,1,0,0,3
3279,29,0,37,3,38,24,1,2,0,6,37,56,26,21,60,1,1,0,1,0,1,1,1,3
3280,49,29,65,141,113,38,1,2,0,0,15,14,9,17,3,0,0,1,0,1,1,1,1,3
3281,5,1,5,5,5,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2
3282,5,42,48,7,41,58,0,1,1,15,10,29,12,23,0,1,0,1,0,1,1,0,0,3
3283,4,133,82,122,122,122,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,4
3284,104,6,52,93,58,36,1,2,0,73,55,4,47,50,67,1,0,0,1,1,0,0,0,3
3285,110,39,118,168,63,56,2,1,1,0,0,30,15,30,0,0,0,1,1,0,1,1,1,4
3286,64,3,78,85,14,12,0,2,0,17,8,33,77,77,36,1,1,1,0,0,1,0,1,3
3287,106,36,80,70,69,193,2,2,0,18,0,6,27,8,17,1,1,0,0,1,1,1,1,4
3288,29,39,36,35,33,15,0,0,2,16,22,78,61,72,24,1,0,0,0,1,1,0,1,3
3289,61,1,110,52,101,92,1,2,1,73,3,76,54,4,12,0,1,0,0,1,1,1,0,3
3290,26,118,166,195,83,100,2,0,1,14,14,5,10,4,7,1,0,1,1,1,0,1,0,4
3291,53,24,17,48,46,43,1,2,0,60,41,69,56,22,66,1,0,1,0,1,1,0,1,3
3292,14,18,179,85,112,214,2,1,2,77,16,17,72,50,81,0,0,0,1,1,1,0,1,4
3293,5,13,10,3,3,9,0,1,1,12,22,9,4,18,12,1,0,1,1,0,0,0,1,2
3294,41,91,13,1,89,55,2,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,3
3295,129,113,10,41,96,100,1,0,2,2,44,51,28,31,28,1,1,1,1,1,0,1,0,3
3296,140,32,111,122,63,65,0,2,2,22,12,14,30,24,7,1,1,1,1,1,1,0,0,4
3297,21,1,63,22,68,40,0,0,1,28,5,44,5,5,25,0,0,0,1,0,0,0,1,3
3298,133,201,218,13,222,171,2,1,0,82,71,17,54,50,83,0,0,1,1,1,0,1,0,4
3299,59,170,138,15,69,86,0,2,1,22,28,0,28,4,13,0,1,0,1,1,1,1,0,4
3300,113,181,73,159,190,140,0,1,2,27,13,17,36,0,29,1,1,0,1,1,1,0,0,4
3301,0,69,45,88,63,112,0,0,1,8,82,83,23,70,24,1,1,0,0,0,1,0,0,3
3302,106,89,204,61,206,140,1,0,2,77,35,51,43,41,45,0,1,0,1,0,1,1,0,4
3303,142,17,93,4,56,10,2,2,1,58,43,47,45,40,11,0,0,1,1,1,1,1,1,3
3304,97,43,157,91,93,43,1,2,0,90,42,82,6,97,3,0,1,0,0,0,0,0,0,4
3305,221,29,121,47,136,182,1,0,0,1,32,8,7,31,40,0,1,0,0,1,1,0,1,4
3306,149,136,47,203,157,131,2,2,2,16,15,26,8,21,10,1,0,1,1,0,0,1,0,4
3307,71,4,19,21,61,43,1,2,2,22,22,23,22,25,5,1,0,0,0,0,1,1,1,3
3308,24,59,50,56,1,66,2,1,2,18,22,5,3,4,46,0,1,1,0,0,1,0,1,3
3309,26,1,3,15,15,2,0,0,0,20,17,20,22,19,0,1,0,0,0,0,0,1,1,3
3310,86,80,92,33,110,81,0,0,0,42,21,53,33,14,16,0,1,0,0,1,1,1,1,3
3311,15,114,22,34,106,85,2,2,0,2,15,39,25,13,49,0,0,0,1,1,1,1,0,3
3312,29,134,58,82,13,11,2,1,2,4,6,7,1,7,5,1,1,1,0,0,0,1,0,3
3313,65,15,150,5,68,32,0,2,0,23,0,5,31,12,21,1,0,1,1,1,1,0,1,3
3314,30,19,173,99,198,183,1,2,2,57,38,9,0,46,3,0,1,0,0,0,1,0,0,4
3315,60,15,16,20,13,48,1,1,1,14,29,19,14,28,32,0,0,0,0,0,0,1,1,3
3316,231,137,17,50,98,139,0,1,1,82,13,54,29,7,11,1,0,0,1,0,0,1,0,4
3317,23,95,178,67,177,13,1,1,1,22,26,54,13,33,54,1,0,1,0,0,0,1,1,4
3318,163,69,29,37,111,5,2,2,0,59,64,59,63,59,2,1,1,0,1,0,0,0,0,3
3319,45,87,8,82,73,37,2,1,0,2,41,28,13,42,20,1,1,1,1,1,1,0,1,3
3320,164,108,29,152,60,68,2,1,0,5,22,14,14,20,6,1,0,0,1,0,0,0,1,4
3321,126,107,58,2,25,70,0,2,2,44,31,51,7,46,17,1,0,1,0,0,1,1,1,3
3322,28,17,10,28,34,31,2,2,0,17,7,6,62,56,1,1,1,1,1,1,1,1,0,3
3323,15,127,118,69,66,81,1,0,2,25,43,39,84,7,17,0,1,0,1,1,0,1,0,3
3324,139,123,159,119,166,65,0,0,1,20,15,16,50,34,11,0,0,0,0,0,0,0,1,4
3325,71,174,72,54,37,90,1,2,2,4,9,29,31,4,7,0,1,0,1,0,0,0,1,3
3326,5,63,83,43,81,75,2,1,1,8,12,32,39,21,69,1,1,1,1,1,0,1,0,3
3327,20,90,56,92,0,1,2,0,2,63,40,4,29,0,24,0,1,0,1,1,0,1,1,3
3328,72,11,55,36,42,42,1,0,1,4,16,78,18,14,47,1,0,1,0,0,1,0,0,3
3329,8,12,9,6,0,1,2,2,1,32,2,29,60,71,44,0,0,1,1,1,0,0,1,2
3330,0,4,6,4,10,12,2,2,0,4,31,59,44,12,9,0,0,1,0,0,0,1,0,2
3331,169,105,214,105,204,18,2,1,0,8,3,4,5,11,10,1,0,1,1,0,1,1,0,4
3332,58,60,125,24,6,80,0,0,2,6,27,2,3,27,41,1,1,0,1,0,0,1,1,3
3333,9,8,14,10,3,11,2,0,1,15,12,27,0,30,24,0,1,0,1,1,1,1,1,3
3334,58,11,33,47,3,15,2,0,2,55,21,22,91,19,80,1,1,0,0,1,0,1,0,3
3335,5,7,10,20,0,46,1,1,2,67,71,42,21,75,3,1,0,0,0,0,0,1,0,3
3336,1,7,1,1,0,5,2,1,1,37,25,61,12,80,59,0,1,0,0,0,1,0,1,2
3337,7,10,2,17,23,8,0,1,2,3,0,3,0,1,4,0,1,0,1,0,1,1,0,3
3338,2,8,11,8,3,18,0,2,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,3
3339,39,74,57,72,100,48,2,1,2,35,66,70,67,59,72,1,0,1,0,0,0,1,0,3
3340,5,3,5,1,4,2,2,2,0,16,48,16,16,0,0,0,1,1,1,1,1,1,0,2
3341,216,75,195,155,230,176,1,1,0,43,27,20,79,5,42,1,1,1,1,0,0,0,1,5
3342,39,58,104,99,14,25,2,1,1,45,15,4,39,0,37,0,1,1,1,0,1,0,0,3
3343,136,173,118,123,20,132,1,2,0,31,22,10,40,12,50,1,0,0,1,1,1,0,1,4
3344,5,8,2,7,7,1,2,2,0,30,21,17,14,28,15,1,0,1,0,0,0,1,0,2
3345,89,14,67,45,20,45,2,2,0,33,53,2,4,33,21,1,1,0,0,1,1,0,0,3
3346,17,10,108,76,122,115,0,2,0,18,16,1,16,16,2,1,1,0,1,1,0,0,0,3
3347,9,14,24,2,8,23,2,0,1,92,59,33,53,89,11,1,1,1,0,1,1,1,1,3
3348,87,157,78,131,128,178,2,0,1,38,152,171,0,114,19,0,0,0,1,0,0,0,1,4
3349,11,10,3,14,7,20,1,1,1,96,14,51,89,18,40,0,1,0,0,0,0,1,1,3
3350,18,60,28,3,10,54,1,0,1,27,28,7,12,28,29,1,1,1,1,0,0,1,1,3
3351,64,98,106,21,44,34,0,1,1,33,34,2,0,15,21,1,1,1,1,0,1,1,0,3
3352,41,16,19,27,21,58,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3
3353,6,61,20,12,48,24,1,0,2,34,6,3,15,8,24,1,0,1,1,1,0,1,0,3
3354,13,22,10,4,1,3,0,2,1,77,119,126,245,7,252,0,1,0,1,1,0,0,1,3
3355,106,65,160,200,180,180,0,1,0,39,17,41,19,16,29,0,0,1,0,1,1,0,0,4
3356,20,53,38,10,50,55,2,1,2,15,16,28,14,21,7,0,0,1,0,0,0,0,0,3
3357,12,10,10,70,32,49,1,0,0,11,0,23,0,33,32,0,1,1,1,0,1,1,1,3
3358,10,19,6,10,10,23,2,2,1,3,5,5,5,1,6,1,0,0,0,1,1,1,1,3
3359,117,15,181,24,59,196,2,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,4
3360,9,95,62,44,89,12,2,1,1,31,24,19,41,19,35,0,0,0,1,0,1,1,1,3
3361,17,25,125,130,67,92,0,1,2,70,50,72,49,71,48,0,1,1,1,0,0,0,0,3
3362,70,43,32,32,22,4,0,2,2,0,4,30,36,16,5,1,1,0,1,0,1,1,1,3
3363,52,1,35,65,58,61,1,2,0,0,4,13,11,10,3,0,0,0,1,1,0,1,1,3
3364,25,11,30,6,48,37,2,0,1,10,3,1,11,1,4,0,0,1,1,0,1,1,0,3
3365,0,24,9,16,29,18,1,0,1,36,20,6,22,35,44,1,0,0,0,0,1,0,0,3
3366,2,0,22,0,12,27,0,1,0,44,81,55,87,54,10,1,1,1,0,0,1,0,0,3
3367,105,30,18,64,67,64,1,0,0,63,783,531,495,648,567,0,1,1,1,1,0,1,1,3
3368,162,11,14,163,50,131,0,0,0,1,5,1,11,11,3,0,0,1,0,0,0,1,1,4
3369,11,86,48,59,58,49,2,0,1,22,10,39,32,24,40,1,1,0,1,0,1,1,1,3
3370,1,1,1,1,0,0,1,2,0,46,44,24,48,15,48,0,1,1,0,0,1,1,1,2
3371,23,38,48,47,49,27,1,2,0,3,0,0,3,3,2,0,0,1,1,1,1,0,0,3
3372,189,8,208,191,87,139,2,2,0,5,16,3,8,9,10,0,1,1,1,0,1,0,1,4
3373,3,8,12,3,2,6,2,1,1,2,2,1,1,0,2,0,1,1,1,1,1,0,0,2
3374,101,7,124,74,130,1,2,2,0,13,78,13,44,42,51,1,1,0,1,0,1,0,1,3
3375,73,90,136,82,28,51,1,0,2,41,55,52,59,9,26,1,0,0,0,1,0,0,1,3
3376,39,12,36,34,21,26,0,2,0,28,38,22,10,39,36,1,1,0,0,1,1,1,1,3
3377,98,126,11,106,159,121,2,1,1,10,41,49,8,1,20,0,1,1,0,0,0,0,1,4
3378,67,39,29,74,69,5,2,2,1,27,28,3,12,40,27,1,1,0,0,0,1,1,0,3
3379,29,36,6,80,83,23,0,0,0,8,81,15,8,59,14,1,1,0,0,1,1,1,0,3
3380,104,32,13,30,103,63,1,0,2,11,65,65,85,10,54,0,1,0,0,0,0,1,0,3
3381,66,168,66,29,126,118,2,2,1,28,43,50,4,36,28,0,0,0,0,0,0,0,1,4
3382,6,4,22,1,5,12,2,0,2,1,9,8,4,0,16,0,1,1,0,0,1,1,0,3
3383,11,60,7,18,93,106,1,2,2,11,3,49,62,29,38,0,0,1,0,0,1,1,1,3
3384,1,12,31,0,2,33,1,1,2,5,25,20,10,25,20,1,1,1,1,1,0,0,1,3
3385,26,33,95,70,105,91,0,2,0,53,26,37,61,22,7,1,0,1,1,0,1,1,1,3
3386,41,21,49,41,38,29,1,2,2,8,46,9,19,32,24,0,0,0,0,1,0,0,1,3
3387,44,130,97,101,217,120,2,1,2,70,6,15,20,49,45,0,1,1,1,1,1,1,1,4
3388,83,16,93,36,16,18,1,1,1,33,44,43,4,23,3,1,1,0,0,1,1,1,1,3
3389,40,78,25,35,36,81,2,0,1,37,10,43,39,4,27,0,1,1,1,1,0,0,1,3
3390,140,27,128,148,142,86,2,0,0,17,18,5,15,18,17,1,0,0,0,0,0,1,1,4
3391,66,10,57,27,18,42,0,2,0,10,3,3,0,5,12,1,1,1,1,0,1,0,1,3
3392,103,14,123,118,118,57,2,2,0,3,3,2,10,9,9,0,0,0,1,1,1,1,0,4
3393,28,55,112,21,7,69,2,1,0,0,1,2,1,3,1,0,1,1,1,0,0,0,1,3
3394,128,113,192,24,199,100,1,0,2,30,21,4,22,0,28,1,0,0,1,1,0,1,0,4
3395,4,40,37,18,21,26,2,2,1,24,20,13,62,48,45,0,0,0,1,1,0,1,0,3
3396,63,100,19,108,57,2,0,0,0,48,18,36,11,30,75,1,0,1,0,1,1,0,0,3
